rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
1,4 UMa,Radial Velocity,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,,,,,,,,,,,,,0,0,4415,70,-70,0,0,1.23,0.15,-0.15,0,0,18.11,1.47,-1.47,0,0
2,6 Lyn,Radial Velocity,1,874.774,16.27,-8.47,0,2.18,0.05,-0.06,0,0.059,,,0,,,,,2.21,0.11,-0.16,0,,,,,,,,,,,,,0,0,4978,18,-18,0,0,1.7,0.1,-0.2,0,0,5.2,0.4,-0.3,0,0
3,7 CMa,Radial Velocity,1,763,17,-17,0,1.9,0.1,-0.1,0,0.14,0.06,-0.06,0,,,,,2.6,0.6,-0.6,0,,,,,,,,,,,,,0,0,4792,100,-100,0,0,1.52,0.3,-0.3,0,0,2.3,0.1,-0.1,0,0
4,11 Com,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,,,,,,,,,,,,,0,0,4742,100,-100,0,0,2.7,0.3,-0.3,0,0,19,2,-2,0,0
5,11 UMi,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,10.5,2.47,-2.47,0,,,,,,,,,,,,,0,0,4340,70,-70,0,0,1.8,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0
6,14 And,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,,,,,,,,,,,,,0,0,4813,20,-20,0,0,2.2,0.1,-0.2,0,0,11,1,-1,0,0
7,14 Her,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,,,,,4.64,0.19,-0.19,0,,,,,,,,,,,,,0,0,5311,87,-87,0,0,0.9,0.05,-0.05,0,0,,,,,0
8,16 Cyg B,Radial Velocity,1,798.5,1,-1,0,1.681,0.097,-0.097,0,0.681,0.017,-0.017,0,1.68,0.15,-0.15,0,,,,,,,,,,,,,,,,,0,0,5674,,,0,0,0.99,,,0,0,,,,,0
9,18 Del,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,,,,,,,,,,,,,0,0,4979,18,-18,0,0,2.3,,,0,0,8.5,,,0,0
10,24 Sex,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,,,,,,,,,,,,,0,0,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0
