rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613385,1.90E-08,-1.90E-08,0,,,12.85,2.70E-01,-2.70E-01,0.035,,,84.22,,,1344,,,5850,50,-50,0.95,0.02,-0.02,0.94,0.05,-0.05
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735365,3.80E-08,-3.80E-08,0,,,16.39,1.50E-01,-1.40E-01,0.0381,,,89.95,,,2025,,,6350,80,-80,1.991,0.018,-0.018,1.52,0.036,-0.036
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,4.887802706,1.77E-07,-1.77E-07,0,,,4.84,1.90E-01,-1.40E-01,0.053,,,89.95,,,801,,,4777,93,-91,0.765,0.03,-0.022,0.829,0.024,-0.053
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,4.780327766,8.76E-07,-8.76E-07,0,,,7.07,1.70E-01,-1.70E-01,0.0577,,,82.51,,,1396,,,5753,75,-75,1.747,0.042,-0.042,1.13,0.065,-0.065
6,8554498,K00005.02,,CANDIDATE,CANDIDATE,7.05185637,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,3.213668628,1.12E-06,-1.12E-06,0,,,4.14,1.10E-01,-1.10E-01,0.0439,,,89.95,,,1507,,,5781,76,-76,1.533,0.04,-0.04,1.092,0.073,-0.073
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498573,1.94E-07,-1.94E-07,0,,,14.83,1.19E+00,-1.32E+00,0.0473,,,85.37,,,1521,,,6225,114,-158,1.451,0.117,-0.129,1.132,0.088,-0.098
13,5812701,K00012.01,,CANDIDATE,CANDIDATE,17.8552197,3.77E-06,-3.77E-06,0,,,14.63,8.54E+00,-3.18E+00,0.1463,,,89.95,,,942,,,6635,142,-214,1.516,0.885,-0.33,1.312,0.272,-0.246
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,1.763587569,3.20E-08,-3.20E-08,0,,,25.8,1.02E+01,-8.04E+00,0.0386,,,84.8,,,3560,,,9107,257,-425,3.031,1.198,-0.944,2.466,0.447,-0.725
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,3.234699312,1.13E-07,-1.13E-07,0,,,13.41,9.70E-01,-1.03E+00,0.0435,,,89.95,,,1355,,,5640,99,-110,1.291,0.093,-0.099,1.047,0.079,-0.075
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,3.548465405,1.96E-07,-1.96E-07,0,,,15.28,1.18E+00,-1.28E+00,0.05,,,89.95,,,1640,,,6290,105,-120,1.746,0.135,-0.146,1.319,0.09,-0.135
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,4.43796303,1.67E-07,-1.67E-07,0,,,18.22,3.93E+00,-3.13E+00,0.0545,,,89.95,,,1338,,,5953,105,-123,1.415,0.305,-0.243,1.093,0.128,-0.091
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,7.891448474,4.70E-07,-4.70E-07,0,,,12.24,2.45E+00,-1.52E+00,0.0796,,,89.38,,,1000,,,5853,95,-134,1.193,0.239,-0.148,1.08,0.077,-0.085
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,12.81588378,1.84E-05,-1.84E-05,0,,,2.28,6.00E-02,-5.00E-02,0.11,,,87.09,,,946,,,5825,75,-75,1.49,0.035,-0.035,1.08,0.063,-0.063
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,6.88706037,2.04E-05,-2.04E-05,0,,,1.31,3.00E-02,-3.00E-02,0.0727,,,87.09,,,1163,,,5825,75,-75,1.49,0.035,-0.035,1.08,0.063,-0.063
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,35.3330866,2.16E-04,-2.16E-04,0,,,1.5,3.00E-02,-4.00E-02,0.2163,,,88.81,,,674,,,5825,75,-75,1.49,0.035,-0.035,1.08,0.063,-0.063
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,17.83368211,1.15E-05,-1.15E-05,0,,,2.47,4.00E-02,-3.00E-02,0.1436,,,89.95,,,859,,,6325,75,-75,1.361,0.018,-0.018,1.242,0.045,-0.045
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,3.487689428,1.13E-06,-1.13E-06,0,,,4.36,1.01E+00,-5.50E-01,0.0468,,,89.95,,,1291,,,5761,85,-150,1.208,0.282,-0.152,1.125,0.088,-0.104
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,6.02979518,7.05E-05,-7.05E-05,0,,,0.91,2.10E-01,-1.20E-01,0.0675,,,87.66,,,1075,,,5761,85,-150,1.208,0.282,-0.152,1.125,0.088,-0.104
